case,n_per_form,trials,observable_pairs,new_interval_compatible,current_point_strata_compatible,held_pairs,original_degenerate_arm,replica_degenerate_arm,original_generic_resolution_guard,invalid_bootstrap_draws,mean_original_form0_width
equal_mid,128,500,500,497,0,0,0,0,0,0,19.4246692498
equal_high,128,500,500,494,1,0,4,2,499,0,10.5284466014
one_form_separated_5pp,128,500,500,484,0,0,0,0,0,0,19.5228119974
both_forms_separated_10pp,128,500,500,341,0,0,0,0,0,0,19.4815333874
opposite_form_shifts_10pp,128,500,500,412,0,0,0,0,0,0,19.5672752088
equal_imbalanced,128,500,500,493,1,0,0,1,0,0,29.3543873454
separated_10pp_imbalanced,128,500,500,422,0,0,0,37,0,0,29.1304650195
equal_near_ceiling,128,500,500,500,203,0,500,500,500,0,0.57743716302
equal_near_floor,128,500,500,500,182,0,500,500,500,0,0.609373946907
equal_shared_frames,128,500,500,492,1,0,0,0,26,0,19.5088952729
separated_10pp_shared_frames,128,500,500,357,1,0,0,6,32,0,19.4498863142
unobservable_arm_sentinel,128,500,0,0,0,500,0,0,0,1000000,19.4979981754
