case,n_per_form,trials,observable_pairs,new_interval_compatible,current_point_strata_compatible,held_pairs,original_degenerate_arm,replica_degenerate_arm,original_generic_resolution_guard,invalid_bootstrap_draws,mean_original_form0_width
equal_mid,512,500,500,490,1,0,0,0,0,0,9.79163095849
equal_high,512,500,500,492,0,0,0,0,500,0,5.30959093925
one_form_separated_5pp,512,500,500,457,0,0,0,0,0,0,9.7605251433
both_forms_separated_10pp,512,500,500,35,0,0,0,0,0,0,9.73204610207
opposite_form_shifts_10pp,512,500,500,98,0,0,0,0,0,0,9.80216260625
equal_imbalanced,512,500,500,493,1,0,0,0,0,0,14.702862267
separated_10pp_imbalanced,512,500,500,192,0,0,0,0,0,0,14.7035841788
equal_near_ceiling,512,500,500,489,46,0,489,489,500,0,0.545085901001
equal_near_floor,512,500,500,495,46,0,487,493,500,0,0.536735540252
equal_shared_frames,512,500,500,494,0,0,0,0,0,0,9.90041010615
separated_10pp_shared_frames,512,500,500,50,0,0,0,0,0,0,9.96843767303
unobservable_arm_sentinel,512,500,0,0,0,500,0,0,0,1000000,9.78978173394
