scenario,n_worlds_per_form,trials,support_original,support_replica,support_both,support_both_and_overlap,support_overlap_and_original_negative,opposes_original,degenerate_original,cover_form0,cover_form1,cover_pooled,mean_width_form0,mean_expected_delta_form0,mean_expected_delta_form1
equality_independent,600,1000,949,958,908,896,5,0,0,950,952,962,4.92263241913,0,0
equality_shared_world,600,1000,942,934,877,866,6,0,0,948,942,944,5.00389496232,0,0
tolerated_two_point_loss,600,1000,439,448,206,205,61,0,0,959,954,955,4.92632410957,-2,-2
five_point_boundary,600,1000,1,0,0,0,0,65,0,938,937,938,5.92419033978,-5,-5
six_point_violation,600,1000,0,0,0,0,0,201,0,961,953,951,6.1006329775,-6,-6
boundary_shared_world,600,1000,2,0,0,0,0,56,0,947,945,952,6.30853011683,-5,-5
violation_shared_four_world_frame,600,1000,0,0,0,0,0,280,0,846,866,866,6.53349958476,-6,-6
equality_shared_four_world_frame,600,1000,947,936,890,882,8,0,0,951,953,960,4.88340780871,0,0
equality_near_ceiling,600,1000,41,40,3,3,0,0,959,996,997,985,0.5511281605,0,0
opposite_reader_effects,600,1000,957,951,911,904,17,0,0,951,932,938,4.82733091895,0.000733579897672,0.0213311935271
one_harmed_form_hidden_by_pool,600,1000,0,0,0,0,0,474,0,944,953,950,4.41416040308,2,-8
one_percent_absent_at_random,600,1000,956,946,903,899,12,0,0,951,950,942,4.95520619669,0,0
