scenario,n_worlds_per_form,trials,support_original,support_replica,support_both,support_both_and_overlap,support_overlap_and_original_negative,opposes_original,degenerate_original,cover_form0,cover_form1,cover_pooled,mean_width_form0,mean_expected_delta_form0,mean_expected_delta_form1
equality_independent,300,1000,640,630,402,401,0,0,0,947,939,947,6.97615211652,0,0
equality_shared_world,300,1000,578,625,360,359,0,0,0,934,944,953,7.19966660821,0,0
tolerated_two_point_loss,300,1000,159,154,26,26,0,0,0,946,945,942,6.93905023893,-2,-2
five_point_boundary,300,1000,2,0,0,0,0,56,0,949,943,949,8.42566538011,-5,-5
six_point_violation,300,1000,0,0,0,0,0,156,0,957,950,943,8.61678342629,-6,-6
boundary_shared_world,300,1000,1,1,0,0,0,62,0,940,948,951,9.05709943667,-5,-5
violation_shared_four_world_frame,300,1000,1,4,0,0,0,258,0,867,855,857,9.26486910546,-6,-6
equality_shared_four_world_frame,300,1000,647,675,425,423,0,0,2,941,957,952,7.01640087194,0,0
equality_near_ceiling,300,1000,5,6,0,0,0,0,995,1000,998,994,0.608949037149,0,0
opposite_reader_effects,300,1000,626,645,398,397,0,0,0,959,940,947,6.78794525949,-0.000622561172203,0.0289040545965
one_harmed_form_hidden_by_pool,300,1000,1,1,0,0,0,248,0,933,955,948,6.18958754981,2,-8
one_percent_absent_at_random,300,1000,649,622,406,405,0,0,0,941,944,941,6.95683440966,0,0
